id,characters
1,Peter Griffin
1,Lois Griffin
1,Brian Griffin
1,Stewie Griffin
1,Chris Griffin
1,Meg Griffin
1,Quagmire
1,Cleveland Brown
1,Tom Tucker
1,Diane Simmons
1,Johnson
1,Mr. Weed
1,Judge
1,Charlie
1,Nancy the Postal Lady
1,The Black Knight
1,Dick and Paul
1,God
1,Kool-Aid Man
1,Ed McMahon
1,Dick Clark
1,Adolf Hitler
1,Tom Hanks
1,Bill Clinton
1,Jerry Seinfeld
1,John Madden
1,Pat Summerall
1,Scott Baio
1,Erin Moran
1,The Brady Bunch
1,Arnold
1,Dudley
1,Pound Poochies
1,Baby Heimlich
1,G.I. Jew
2,Peter Griffin
2,Meg Griffin
2,William Shatner
2,Chris Griffin
2,Brian Griffin
2,Lois Griffin
2,Stewie Griffin
2,Quagmire
2,Tom Tucker
2,Diane Simmons
2,Road Runner
2,Wile E. Coyote
2,Bigfoot
2,Sunny
2,The Creature from the Black Lagoon
2,Willy Wonka
2,Fred
2,Velma
2,Shaggy
2,Daphne
2,Scooby-Doo
2,Ensign Ricky
2,Captain Kirk
2,Lt. Uhura
2,Mr. Spock
2,Dr. McCoy
2,Mike
2,ALF
2,Gilligan
2,Andy Sipowicz
2,Robot
2,Jeannie
2,Elizabeth Montgomery
2,Charles Manson
2,Ponch
3,Peter Griffin
3,Meg Griffin
3,Lois Griffin
3,Stewie Griffin
3,Jennifer
3,Chris Griffin
3,Brian Griffin
3,Hanson
3,Jolene
3,Henry
3,Timmy
3,Jesus Christ
3,Bruce
3,The Man in White
3,Heaven's Helpers
3,Three Little Pigs
3,Paul Reiser
4,Peter Griffin
4,Lois Griffin
4,Stewie Griffin
4,Meg Griffin
4,Brian Griffin
4,Chris Griffin
4,Quagmire
4,Cleveland Brown
4,Loretta Brown
4,The Pawtucket Patriot
4,Johnny Muldoon
4,Soccer Mom
4,Misty
4,Reuben
4,Mr. Tumnus
4,Bert & Ernie
4,Tim Allen
4,Leslie Uggams
