id,season,no_of_episode_season,title,imdb_rating,synopsis
1,1,1,Death Has a Shadow,7.7,"Peter applies for welfare to support his family after losing his job. He receives a check for $150,000 due to a misplaced decimal point, and uses it to buy lavish presents for his family. Lois is upset when she finds out after receiving a new welfare check in the mail; Peter attempts to make her happy by dropping his surplus money out of a blimp above Super Bowl XXXIII with the help of Brian. Both are arrested by security guards and prosecuted for welfare fraud. At the courthouse, Lois pleads with the judge not to imprison Peter; Stewie, grudgingly coming to realize his dependence on his parents, influences the judge to reconsider the sentence."
2,1,2,I Never Met the Dead Man,7.5,"Peter has become addicted to television. While driving Meg home, he is distracted by a show he wanted to watch on a television in a nearby house, and crashes into the city's cable transmitter, cutting reception for the entire town of Quahog. Peter panics and steals the transmitter and convinces Meg to take blame for the outage. Stewie steals the satellite dish in a plan to create a weather control device. Suffering withdrawal syndrome from lack of television, Peter straps a cardboard cutout to himself, making it appear as though the world is a television program. Meg confesses that her father actually was to blame for the cable outage, causing the town to turn against him; he is saved when Lois gives a heartfelt speech to the community. Inspired, Peter brings the family to various outdoor activities, quickly exhausting them; he then goes off with William Shatner. Meanwhile, Stewie's weather machine creates a rainstorm; while Meg is practicing driving, the storm causes her to accidentally hit Shatner and Peter, killing Shatner and hospitalizing Peter. As her father recovers in a full-body cast, he is forced to watch television, causing him to become addicted once again."
3,1,3,Chitty Chitty Death Bang,7.6,"Peter accidentally loses the reservation for Stewie's first birthday party at a local restaurant, and must create a new party. Meanwhile, Stewie misinterprets ""birthday"", assuming that the mysterious Man in White who delivered him as an infant will return to force him back into Lois' womb. Peter fails to put together a party in time for Stewie's birthday, and reroutes a circus parade into the Griffins' backyard. He gives Meg permission to go to a ""party"" at her friend's house, not realizing that it is a cult meeting where the attendees will commit mass suicide by drinking poisoned fruit punch. Peter retrieves Meg before the cult members drink the punch. The cult leader notices that Meg did not drink; he puts on his white robe and goes to the Griffins' house. Stewie traps and kills the cult leader, thinking he is the Man in White"
4,1,4,Mind Over Murder,7.4,"Stewie has begun teething; Lois explains to him that the pain will pass with time, so he decides to build a time machine. Lois asks Peter to take Chris to a soccer game; there, Peter punches a pregnant woman and is put under house arrest. Peter decides to open a bar in his basement so that his friends will come to visit; it becomes a hot spot and Lois becomes upset until she sings at the bar. Peter becomes jealous and has his friends' wives to drag them out of the bar. A cigarette starts a fire; when Peter and Lois become aware of it and attempt to escape, Stewie's time machine takes everyone back to the point when Lois asks Peter to take Chris to the game. This time, Peter trips over the time machine and destroys it."
5,1,5,A Hero Sits Next Door,7.4,"After Peter injures the Happy-Go-Lucky Toy Factory's new employee Guillermo during softball practice, he is forced by his boss Mr. Weed to find a replacement for the upcoming softball game. Meanwhile, Lois meets the Griffin family's new neighbors, the Swansons. Peter is initially annoyed by Joe Swanson and has no interest in becoming his friend, but convinces Joe to play for the softball team once Lois mentions that he played baseball in college. Next morning at the game, Peter is surprised to learn that Joe uses a wheelchair. Joe's experience helps the team win. Peter becomes jealous of Joe and tries to become a hero by stopping a robbery; he ends up as a hostage until Joe convinces the robbers to surrender. Peter is disappointed, but his family tells him that he is their hero."
6,1,6,The Son Also Draws,7.2,"Chris is ejected from the Youth Scouts (Family Guy's version of the Boy Scouts) when he runs over the troop leader at the Soap Box Derby. Although Chris dislikes scouts and prefers drawing, he fears telling Peter. When Peter finds out, he drives the family to the scout headquarters in Manhattan to get Chris readmitted. On a rest stop at a Native American casino, Lois becomes a gambling addict and loses the family car. Since each Native American receives a share of the casino profits, Peter pretends to be a Native American, and he is sent on a vision quest to prove his heritage. Chris accompanies Peter to explain that he only likes drawing. Delirious from hunger, Peter begins talking to anthropomorphic trees and has a vision of his spiritual guide, the Fonz. Peter recognizes his son's talent for drawing; they return to the casino and reclaim the car."
7,1,7,Brian: Portrait of a Dog,7.5,"Quahog is in the grip of an unusual heat wave. The Griffins ask Brian to enter a dog show, offering a top prize of $500, so they are able to buy air conditioning. Brian performs his tricks at the show; Peter asks Brian to beg for a treat, but Brian finds it demeaning and exits quickly. On the way home, Peter and Brian argue until Brian exits the car; the police give Brian a ticket for violating the local leash law. Another debate ensues and Peter mentions that he found Brian as a stray dog. Angry that Peter had brought that up, Brian leaves the house, whereupon he is badly treated by the community and must sleep at a bus stop. Peter purchases a new cat which turns out to be abusive, so the Griffins abandon it and search for Brian. By the time Peter decides to apologize to Brian, he has been taken away by the police and awaits his death sentence. Brian begins to plead his case but is interrupted when the court decides ""it is stupid"" to listen to a dog. As he is about to be dismissed, Peter steps in and delivers a last-ditch emotional appeal on his behalf. The city council members hearing the case are not on Brian's side, but Peter promises to give them $20 each, convincing them to free Brian. The charges against Brian are dropped and the town shows him new respect."
8,2,1,"Peter, Peter, Caviar Eater",7.6,"Lois' aunt, Marguerite Pewterschmidt, suddenly dies, leaving Lois and the rest of the family her posh summer mansion in a will. However, when Peter becomes convinced that he is rich and ultimately bids $100 million at a charity auction, he attempts to convince the landowners his house is valuable enough to trade instead. After several futile attempts to ""prove"" that Cherrywood Manor has enough historical value to cover the bid, Peter makes up with Lois and uncovers a set of hidden photographs which show several prominent American figures (including Abraham Lincoln, Robert E. Lee, and Ulysses S. Grant) at Cherrywood Manor, which was a brothel at the time. This discovery allows Peter to buy back his home after selling the pictures to the tabloids. Afterwards, Peter decides that he does not care what Lois' relatives think of him, since they were nothing more than ""a bunch of pimps and whores""."
9,2,2,Holy Crap,7.3,"Peter's devoutly religious, recently retired father Francis (Charles Durning) comes to visit, though he is intolerant of the others and makes life miserable for them; nevertheless, Peter tries to bond with him, since he had always been neglectful of his son. When all else fails, Peter resorts to kidnapping the Pope by taking the place of his regular driver to settle their conflict. He then brings the Pope back to his house, where the pope attempts to mediate his problems. Afterwards, Peter reconciles with Francis, who is hired for the job of working as the Pope's security guard during his tour of the United States, pushing down people who are not allowed to be near the Pope and those who are allowed to be near the Pope, but are in his way, including Fox personnel, much to the Pope's dismay. At the end of the episode, Peter's mom shows up at the door and wishes to live with the family, prompting them to flee the house in an escape pod."
10,2,3,Da Boom,8.1,"After a man in a chicken suit warns Peter that the world will end because of Y2K, Peter locks his family up in their basement on December 31, 1999. A nuclear holocaust then occurs, destroying much of the world and mutating, injuring, and killing many of the citizens of Quahog. The family then travel with the surviving citizens of Quahog to Natick, in hopes that the Twinkie factory survived; during the process, Stewie is exposed to the radiation and mutates into an octopus. However, upon their arrival, they find the factory to be deserted, and must survive alongside the citizens of the city in Natick (dubbed ""New Quahog""). Peter is elected head of the town, but makes several fatal mistakes and is chased out of ""New Quahog"" alongside his family by an angry mob, singing ""Left foot, right foot"" the whole way out. The episode ends with a live action sequence involving Pamela Barnes Ewing waking up to find her husband Bobby in the shower. She tells him about the episode, which was a dream, thus retconning the entire episode, a parody of the Dallas episode ""Blast from the Past""."
